Year,Race,Round,YELLOW,DOUBLE YELLOW,RED
2022,Bahrain Grand Prix,1,1,2,0
2022,Saudi Arabian Grand Prix,2,2,7,0
2022,Australian Grand Prix,3,3,5,0
2022,Miami Grand Prix,5,4,2,0
2022,Spanish Grand Prix,6,6,1,0
2022,Monaco Grand Prix,7,11,4,2
2022,Azerbaijan Grand Prix,8,5,7,0
2022,Canadian Grand Prix,9,3,0,0
2022,British Grand Prix,10,5,2,1
2022,French Grand Prix,12,12,12,0
2022,Hungarian Grand Prix,13,5,2,0
2022,Belgian Grand Prix,14,2,5,0
2022,Dutch Grand Prix,15,9,1,0
2022,Italian Grand Prix,16,2,2,0
2022,Singapore Grand Prix,17,10,20,0
2022,Japanese Grand Prix,18,3,1,1
2022,United States Grand Prix,19,6,4,0
2022,Mexico City Grand Prix,20,1,1,0
2022,Abu Dhabi Grand Prix,22,0,1,0
2023,Bahrain Grand Prix,1,4,0,0
2023,Saudi Arabian Grand Prix,2,3,2,0
2023,Australian Grand Prix,3,8,4,4
2023,Miami Grand Prix,5,1,1,0
2023,Monaco Grand Prix,6,16,10,0
2023,Spanish Grand Prix,7,0,0,0
2023,Canadian Grand Prix,8,7,2,0
2023,British Grand Prix,10,2,1,0
2023,Hungarian Grand Prix,11,1,2,0
2023,Dutch Grand Prix,13,6,2,1
2023,Italian Grand Prix,14,0,2,0
2023,Singapore Grand Prix,15,11,5,0
2023,Japanese Grand Prix,16,3,5,0
2023,Mexico City Grand Prix,19,10,7,1
2023,Las Vegas Grand Prix,21,9,2,0
2023,Abu Dhabi Grand Prix,22,0,1,0
2024,Bahrain Grand Prix,1,1,2,0
2024,Saudi Arabian Grand Prix,2,2,1,0
2024,Australian Grand Prix,3,5,8,0
2024,Japanese Grand Prix,4,4,1,1
2024,Emilia Romagna Grand Prix,7,2,1,0
2024,Monaco Grand Prix,8,6,8,1
2024,Canadian Grand Prix,9,12,5,0
2024,Spanish Grand Prix,10,0,0,0
2024,British Grand Prix,12,0,0,0
2024,Hungarian Grand Prix,13,1,0,0
2024,Belgian Grand Prix,14,1,0,0
2024,Dutch Grand Prix,15,1,2,0
2024,Italian Grand Prix,16,0,0,0
2024,Azerbaijan Grand Prix,17,12,8,0
2024,Singapore Grand Prix,18,0,0,0
2024,Mexico City Grand Prix,20,5,17,0
2024,Las Vegas Grand Prix,22,1,0,0
2024,Abu Dhabi Grand Prix,24,5,7,0
2025,Australian Grand Prix,1,7,14,0
2025,Japanese Grand Prix,3,0,0,0
2025,Bahrain Grand Prix,4,0,2,0
2025,Saudi Arabian Grand Prix,5,3,6,0
